plane u v itype x0 y0 irot nvertices vx_0 vy_0 vx_1 vy_1 vx_2 vy_2 vx_3 vy_3 vx_4 vy_4 vx_5 vy_5 vx_6 vy_6 icassette_0 icassette_1 trigRate trigLinks dataRate_ld dataLinks_ld dataRate_hd dataLinks_hd MB wagon isEngine nROCs power mrot phi HDorLD hash hash_hdld dataPp0 trigPp0 dataPp0_type trigPp0_type engineType
1 4 10 bOe -167.44 1450.085 2 5 -83.713 1498.405 -251.137 1498.418 -251.158 1401.782 -167.413 1353.432 -83.734 1401.768 -83.713 1498.405 0.0 0.0 1 0 1.214 2.0 0.192 1.0 0.192 1.0 111 0 False 3 3.6 0 96.587 0 104100 104100 1200.0 1211.0 A B N
1 5 0 FM 837.2 0.0 0 6 837.2 -96.7 920.9 -48.3 920.9 48.3 837.2 96.7 753.5 48.3 753.5 -48.3 837.2 -96.7 0 0 3.172 4.0 1.105 2.0 1.081 2.0 9 0 False 3 3.6 0 0.0 0 105000 105000 1000.0 1010.0 A A N
1 5 1 FI 753.48 145.01 0 6 753.5 48.3 837.2 96.7 837.2 193.3 753.5 241.7 669.8 193.3 669.8 96.7 753.5 48.3 0 0 3.425 4.0 1.481 2.0 1.506 2.0 1 0 True 6 7.2 0 10.894 1 105010 105011 1000.0 1010.0 A A N
1 5 2 FI 669.76 290.02 0 6 669.8 193.3 753.5 241.7 753.5 338.4 669.8 386.7 586.0 338.4 586.0 241.7 669.8 193.3 0 0 3.693 4.0 1.572 2.0 1.613 2.0 1 0 False 6 7.2 0 23.414 1 105020 105021 1000.0 1010.0 A A N
1 5 3 FI 586.04 435.02 1 6 586.0 338.4 669.8 386.7 669.8 483.4 586.0 531.7 502.3 483.4 502.3 386.7 586.0 338.4 0 1 3.661 4.0 1.579 2.0 1.62 2.0 3 0 True 6 7.2 0 36.587 1 105030 105031 1100.0 1110.0 A A N
1 5 4 FI 502.32 580.03 1 6 502.3 483.4 586.0 531.7 586.0 628.4 502.3 676.7 418.6 628.4 418.6 531.7 502.3 483.4 0 1 3.419 4.0 1.487 2.0 1.515 2.0 2 0 True 6 7.2 0 49.107 1 105040 105041 1100.0 1110.0 A A N
1 5 5 FM 418.6 725.036 1 6 502.345 676.686 502.279 773.373 418.621 821.673 334.855 773.386 334.921 676.7 418.579 628.4 502.345 676.686 1 0 3.172 4.0 1.105 2.0 1.081 2.0 109 0 False 3 3.6 0 60.0 0 105050 105050 1200.0 1210.0 A A N
1 5 6 FO 334.878 870.045 1 6 418.621 821.673 418.555 918.359 334.897 966.659 251.132 918.373 251.197 821.686 334.855 773.386 418.621 821.673 1 0 2.91 3.0 0.963 1.0 0.919 1.0 108 0 False 3 3.6 0 68.948 0 105060 105060 1200.0 1210.0 A A N
1 5 7 FO 251.155 1015.054 1 6 334.897 966.659 334.882 1063.432 251.137 1111.782 167.408 1063.359 167.387 966.723 251.132 918.373 334.897 966.659 1 0 2.439 3.0 0.803 1.0 0.766 1.0 107 0 True 3 3.6 0 76.102 0 105070 105070 1200.0 1210.0 A A W
1 5 8 FO 167.447 1160.066 1 6 251.137 1111.782 251.158 1208.418 167.413 1256.768 83.734 1208.432 83.663 1111.709 167.408 1063.359 251.137 1111.782 1 0 2.19 3.0 0.669 1.0 0.638 1.0 110 0 True 3 3.6 0 81.787 0 105080 105080 1200.0 1211.0 A B W
1 5 9 FO 83.724 1305.075 1 6 167.413 1256.768 167.434 1353.405 83.69 1401.755 0.011 1353.418 -0.01 1256.782 83.734 1208.432 167.413 1256.768 1 0 1.691 2.0 0.562 1.0 0.548 1.0 111 1 False 3 3.6 0 86.329 0 105090 105090 1200.0 1211.0 A B E
1 5 10 dOe 0.002 1450.083 1 5 83.69 1401.755 83.768 1450.091 -83.705 1450.018 -83.734 1401.768 0.011 1353.418 83.69 1401.755 0.0 0.0 1 0 1.026 2.0 0.144 1.0 0.144 1.0 111 1 False 2 2.4 0 90.0 0 105100 105100 1200.0 1211.0 A B N
1 6 0 FO 1004.64 0.0 0 6 1004.6 -96.7 1088.4 -48.3 1088.4 48.3 1004.6 96.7 920.9 48.3 920.9 -48.3 1004.6 -96.7 0 0 2.62 3.0 0.841 1.0 0.802 1.0 9 0 True 3 3.6 0 0.0 0 106000 106000 1000.0 1010.0 A A W
1 6 1 FO 920.92 145.01 0 6 920.9 48.3 1004.6 96.7 1004.6 193.3 920.9 241.7 837.2 193.3 837.2 96.7 920.9 48.3 0 0 2.91 3.0 0.963 1.0 0.919 1.0 8 0 False 3 3.6 0 8.948 0 106010 106010 1000.0 1010.0 A A N
1 6 2 FM 837.2 290.02 0 6 837.2 193.3 920.9 241.7 920.9 338.4 837.2 386.7 753.5 338.4 753.5 241.7 837.2 193.3 0 0 2.924 3.0 1.004 2.0 0.976 1.0 7 0 False 3 3.6 0 19.107 0 106020 106020 1000.0 1010.0 A A N
1 6 3 FM 753.48 435.02 4 6 753.5 338.4 837.2 386.7 837.2 483.4 753.5 531.7 669.8 483.4 669.8 386.7 753.5 338.4 0 1 2.99 4.0 1.046 2.0 1.021 2.0 6 1 False 3 3.6 0 30.0 0 106030 106030 1101.0 1111.0 B B N
1 6 4 FM 669.76 580.03 4 6 669.8 483.4 753.5 531.7 753.5 628.4 669.8 676.7 586.0 628.4 586.0 531.7 669.8 483.4 0 1 2.903 3.0 1.003 2.0 0.978 1.0 5 1 False 3 3.6 0 40.893 0 106040 106040 1100.0 1110.0 A A N
1 6 5 FO 586.04 725.04 4 6 586.0 628.4 669.8 676.7 669.8 773.4 586.0 821.7 502.3 773.4 502.3 676.7 586.0 628.4 0 1 2.902 3.0 0.952 1.0 0.908 1.0 4 1 False 3 3.6 0 51.052 0 106050 106050 1100.0 1110.0 A A N
1 6 6 FO 502.32 870.044 1 6 586.045 821.659 586.029 918.432 502.371 966.732 418.555 918.359 418.621 821.673 502.279 773.373 586.045 821.659 1 0 2.62 3.0 0.841 1.0 0.802 1.0 109 0 True 3 3.6 0 60.0 0 106060 106060 1200.0 1210.0 A A W
1 6 7 FO 418.603 1015.061 1 6 502.371 966.732 502.305 1063.418 418.647 1111.718 334.882 1063.432 334.897 966.659 418.555 918.359 502.371 966.732 1 0 2.334 3.0 0.752 1.0 0.716 1.0 108 0 True 3 3.6 0 67.589 0 106070 106070 1200.0 1210.0 A A W
1 6 8 FO 334.88 1160.07 1 6 418.647 1111.718 418.582 1208.405 334.837 1256.755 251.158 1208.418 251.137 1111.782 334.882 1063.432 418.647 1111.718 1 0 2.141 3.0 0.638 1.0 0.611 1.0 107 1 False 3 3.6 0 73.898 0 106080 106080 1200.0 1210.0 A A E
1 6 9 FO 251.167 1305.073 1 6 334.837 1256.755 334.858 1353.391 251.113 1401.741 167.434 1353.405 167.413 1256.768 251.158 1208.418 334.837 1256.755 1 0 1.646 2.0 0.547 1.0 0.537 1.0 110 1 False 3 3.6 0 79.106 0 106090 106090 1200.0 1211.0 A B E
1 6 10 bOe 167.444 1450.082 2 5 251.134 1498.377 83.711 1498.391 83.69 1401.755 167.434 1353.405 251.113 1401.741 251.134 1498.377 0.0 0.0 1 0 1.221 2.0 0.192 1.0 0.192 1.0 111 1 False 3 3.6 0 83.413 0 106100 106100 1200.0 1211.0 A B N
1 7 0 FO 1172.09 0.0 0 6 1172.1 -96.7 1255.8 -48.3 1255.8 48.3 1172.1 96.7 1088.4 48.3 1088.4 -48.3 1172.1 -96.7 0 0 2.225 3.0 0.668 1.0 0.638 1.0 9 1 False 3 3.6 0 0.0 0 107000 107000 1000.0 1010.0 A A E
1 7 1 FO 1088.37 145.01 0 6 1088.4 48.3 1172.1 96.7 1172.1 193.3 1088.4 241.7 1004.6 193.3 1004.6 96.7 1088.4 48.3 0 0 2.334 3.0 0.752 1.0 0.716 1.0 8 0 True 3 3.6 0 7.589 0 107010 107010 1000.0 1010.0 A A W
